CONAME,STREET,CITY,STATE_NAME,ZIP,NAICS,SIC,EMPNUM,SALESVOL,DESC_,LATITUDE,LONGITUDE
Gene Pike Middle School,Texan Dr,Justin,Texas,76247,61111007,821103,85,0.00000000000,"Gene Pike Middle School, Texan Dr, Justin, Texas, 76247",33.02650000000,-97.31650000000
Northwest Alliance Academy,Highway 114,Justin,Texas,76247,61111007,821103,10,0.00000000000,"Northwest Alliance Academy, Highway 114, Justin, Texas, 76247",33.03290000000,-97.32260000000
Northwest School Dist Admin,Texan Dr,Justin,Texas,76247,61111018,821120,118,0.00000000000,"Northwest School Dist Admin, Texan Dr, Justin, Texas, 76247",33.03020000000,-97.31950000000
John M Tidwell Middle School,Haslet Roanoke Rd,Roanoke,Texas,76262,61111007,821103,100,0.00000000000,"John M Tidwell Middle School, Haslet Roanoke Rd, Roanoke, Texas, 76262",32.98070000000,-97.27740000000
Tidwell Middle School,Haslet Roanoke Rd,Roanoke,Texas,76262,61111007,821103,80,0.00000000000,"Tidwell Middle School, Haslet Roanoke Rd, Roanoke, Texas, 76262",32.98070000000,-97.27740000000
Concordia Academy,Cleveland Gibbs Rd,Northlake,Texas,76262,61111007,821103,5,0.00000000000,"Concordia Academy, Cleveland Gibbs Rd, Northlake, Texas, 76262",33.01380000000,-97.26450000000
Northwest Annex 9th Grade Ctr,Texan Dr,Justin,Texas,76247,61111007,821103,72,0.00000000000,"Northwest Annex 9th Grade Ctr, Texan Dr, Justin, Texas, 76247",33.02650000000,-97.31650000000
W R Hatfield Intermediate Schl,Texan Dr,Justin,Texas,76247,61111007,821103,72,0.00000000000,"W R Hatfield Intermediate Schl, Texan Dr, Justin, Texas, 76247",33.03010000000,-97.31760000000
Cox Elementary School,Litsey Rd,Roanoke,Texas,76262,61111007,821103,55,0.00000000000,"Cox Elementary School, Litsey Rd, Roanoke, Texas, 76262",33.00810000000,-97.25080000000
J Lyndall Hughes Elementary,Lost Spurs Rd,Roanoke,Texas,76262,61111007,821103,50,0.00000000000,"J Lyndall Hughes Elementary, Lost Spurs Rd, Roanoke, Texas, 76262",32.98190000000,-97.28610000000
W R Hatfield Elementary School,Texan Dr,Justin,Texas,76247,61111007,821103,50,0.00000000000,"W R Hatfield Elementary School, Texan Dr, Justin, Texas, 76247",33.03010000000,-97.31760000000
T C Kid's Club-hughes Elmntry,Lost Spurs Rd,Roanoke,Texas,76262,61111007,821103,23,0.00000000000,"T C Kid's Club-hughes Elmntry, Lost Spurs Rd, Roanoke, Texas, 76262",32.98190000000,-97.28610000000
